0.001 0 0.00769314 | 1.486617922783 154.689590454102 0.008010864258 0.008010864258
0.101 0 0.00771296 | 0.914468765259 155.175445556641 -0.078277587891 -0.086288452148
0.201 0 0.00770346 | 1.608754277229 154.490722656250 -0.068725585938 0.009552001953
0.301 0 0.00801687 | 2.652531862259 153.450622558594 -0.065048217773 0.003677368164
0.400998 0 0.00793298 | 3.946426153183 152.120147705078 -0.101623535156 -0.036575317383
0.500997 0 0.00820186 | 5.457844257355 150.490844726562 -0.219512939453 -0.117889404297
0.600996 0 0.00817697 | 7.160133361816 148.652618408203 -0.355453491211 -0.135940551758
0.700995 0 0.00849919 | 9.047421455383 146.593643188477 -0.527130126953 -0.171676635742
0.800993 0 0.00836545 | 11.107123374939 144.205581665039 -0.855499267578 -0.328369140625
0.900992 0 0.00792966 | 13.320473670959 141.425292968750 -1.422424316406 -0.566925048828
